file,i,n.opp,n.opp2,n.evt,n.evt.,beads,pro,syn,pico,origin,offset.small.D1,offset.large.D1,offset.small.D2,offset.large.D2,width
2011_282/356.evt,mean,5845,5845,3691651,3691645,2,195,1968,2001,0,0,-31943,0,-30507,2500
2011_282/356.evt,2.5,6262,6232,3691651,3691645,2,238,2171,1969,0,1077,-18798,942,-15702,2500
2011_282/356.evt,97.5,5435,5435,3691651,3691645,2,161,1774,1988,0,-1076,-45133,-942,-45267,2500
2011_282/430.evt,mean,6520,6520,3686144,3686136,2,280,2416,2058,0,0,-31943,0,-30507,2500
2011_282/430.evt,2.5,7013,6926,3686144,3686136,2,340,2604,2022,0,1077,-18798,942,-15702,2500
2011_282/430.evt,97.5,6180,6180,3686144,3686136,2,231,2263,2083,0,-1076,-45133,-942,-45267,2500
2011_282/431.evt,mean,6642,6642,3681024,3681021,5,371,2481,2103,0,0,-31943,0,-30507,2500
2011_282/431.evt,2.5,7108,7033,3681024,3681021,5,448,2671,2052,0,1077,-18798,942,-15702,2500
2011_282/431.evt,97.5,6232,6232,3681024,3681021,5,307,2285,2126,0,-1076,-45133,-942,-45267,2500
2011_282/432.evt,mean,6604,6604,3691776,3691772,5,374,2370,2158,0,0,-31943,0,-30507,2500
2011_282/432.evt,2.5,7081,7004,3691776,3691772,5,449,2548,2113,0,1077,-18798,942,-15702,2500
2011_282/432.evt,97.5,6239,6239,3691776,3691772,5,310,2198,2183,0,-1076,-45133,-942,-45267,2500
2011_282/446.evt,mean,6864,6864,3673344,3673335,6,354,2553,2062,0,0,-31943,0,-30507,2500
2011_282/446.evt,2.5,7396,7306,3673344,3673335,5,425,2759,2019,0,1077,-18798,942,-15702,2500
2011_282/446.evt,97.5,6489,6489,3673344,3673335,6,286,2385,2089,0,-1076,-45133,-942,-45267,2500
2011_282/450.evt,mean,6706,6706,3665024,3665011,2,381,2484,2170,0,0,-31943,0,-30507,2500
2011_282/450.evt,2.5,7242,7133,3665024,3665011,2,473,2692,2119,0,1077,-18798,942,-15702,2500
2011_282/450.evt,97.5,6369,6369,3665024,3665011,2,314,2322,2210,0,-1076,-45133,-942,-45267,2500
2011_282/455.evt,mean,7018,7018,3710976,3710968,3,575,2658,2154,0,0,-31943,0,-30507,2500
2011_282/455.evt,2.5,7533,7444,3710976,3710968,3,680,2845,2108,0,1077,-18798,942,-15702,2500
2011_282/455.evt,97.5,6634,6634,3710976,3710968,3,488,2491,2183,0,-1076,-45133,-942,-45267,2500
