"pop","time","abundance","fsc","chl","ssc","pe","pop","time","abundance.sd","fsc.sd","chl.sd","ssc.sd","pe.sd"
"prochloro",2015-08-03 08:00:00,194.875942012567,13594.6666666667,14111,16892.3333333333,121.333333333333,"prochloro",2015-08-03 08:00:00,3.87767849281189,101.278493932983,369.971620533251,542.754395038247,0.577350269189626
"synecho",2015-08-03 08:00:00,1.05564595332899,27050.6666666667,33234,28475.3333333333,26490.6666666667,"synecho",2015-08-03 08:00:00,0.0391063558235528,187.107812058538,142.944044996635,393.7732003747,144.46222112834
"beads",2015-08-03 10:00:00,16.136,51854,41796,43843,46348,"beads",2015-08-03 10:00:00,NA,NA,NA,NA,NA
"crocco",2015-08-03 10:00:00,0.42,59794,59928,43445,45981,"crocco",2015-08-03 10:00:00,NA,NA,NA,NA,NA
"picoeuk",2015-08-03 10:00:00,2.324,51598,49513,38107,12715,"picoeuk",2015-08-03 10:00:00,NA,NA,NA,NA,NA
"prochloro",2015-08-03 10:00:00,199.4,13694,11494,16634,121,"prochloro",2015-08-03 10:00:00,NA,NA,NA,NA,NA
"synecho",2015-08-03 10:00:00,1.188,28073,28521,28365,21440,"synecho",2015-08-03 10:00:00,NA,NA,NA,NA,NA
"beads",2015-08-03 12:00:00,18.3618741816175,51818,42256,44652.3333333333,47057,"beads",2015-08-03 12:00:00,0.26658134442736,255.319407801287,175.008571218669,37.2066302335126,148.394743842226
"crocco",2015-08-03 12:00:00,0.529246560979567,57328,62374.3333333333,41898.6666666667,48401.3333333333,"crocco",2015-08-03 12:00:00,0.0460760506792676,645.398326616982,479.276885874265,1072.86780794902,362.315240271967
"picoeuk",2015-08-03 12:00:00,2.18082519036118,49257.6666666667,48454.6666666667,36950.3333333333,11149.3333333333,"picoeuk",2015-08-03 12:00:00,0.0803286345061928,1194.41631491425,785.996395241946,1016.73316722399,1339.21033946626
"prochloro",2015-08-03 12:00:00,205.424578634241,14285,13295.6666666667,17357.6666666667,121.666666666667,"prochloro",2015-08-03 12:00:00,10.0929965511235,1684.45154278774,573.362305469529,379.64500962522,0.577350269189626
"synecho",2015-08-03 12:00:00,1.14615281270903,28256.6666666667,32420.6666666667,29440,25699.6666666667,"synecho",2015-08-03 12:00:00,0.0380839185712463,1042.7657135394,1773.33367794483,355.595275559167,1853.38779895988
"beads",2015-08-03 14:00:00,15.2855146609438,51282.75,44053.75,46421.25,49221.25,"beads",2015-08-03 14:00:00,5.77534791797209,2674.76994337831,2746.40533243001,1517.98580911241,1913.42404692042
"crocco",2015-08-03 14:00:00,0.69038974943243,57372,60959,43046.75,47826.5,"crocco",2015-08-03 14:00:00,0.0540291046463125,646.615290055326,936.17982603059,1979.57324946565,224.607064299708
