time_GMT,lon_decW,lat_decN,station,depth_m,population,fsc,chl,ssc,pe,abundance_cells.uL,sd.fsc,sd.chl,sd.ssc,sd.pe,sd.abundance
6/6/17 7:21,-158,36.99983,11,45,synecho,0.04931,1.39868,0.06527,0.29979,44.9946,0.00072,0.01971,0.00051,0.00433,0.45348
6/6/17 7:21,-158,36.99983,11,45,bacteria,0.00221,0.0474,0.02016,0.0219,603.34635,4.00E-05,9.00E-05,0.00038,0.00024,19.13759
6/6/17 7:21,-158,36.99983,11,50,picoeuk,0.66787,3.60207,0.32296,0.00252,8.395,0.01828,0.132,0.0183,4.00E-04,0.62211
6/6/17 7:21,-158,36.99983,11,50,prochloro,0.01778,0.12778,0.05452,0.00127,167.20146,8.00E-05,0.00037,0.00032,3.00E-05,1.65456
6/6/17 7:21,-158,36.99983,11,50,synecho,0.05302,1.63632,0.06193,0.37371,31.20066,0.00019,0.0277,0.00041,0.00642,0.87092
6/6/17 7:21,-158,36.99983,11,50,bacteria,0.00211,0.04585,0.01968,0.02072,545.50973,2.00E-05,0.00032,0.00023,0.00022,15.02388
6/6/17 7:21,-158,36.99983,11,90,picoeuk,1.21215,13.50708,0.49203,0.00672,1.75344,0.03171,0.5141,0.01501,0.00116,0.18825
6/6/17 7:21,-158,36.99983,11,90,prochloro,0.06205,0.6948,0.14883,0.0015,5.16021,0.00124,0.01461,0.00143,4.00E-05,0.09369
6/6/17 7:21,-158,36.99983,11,90,synecho,0.14418,4.19763,0.0883,1.0643,0.66976,0.00936,0.25984,0.00807,0.05665,0.00823
6/6/17 7:21,-158,36.99983,11,90,bacteria,0.00155,0.03858,0.01926,0.01514,258.8985,3.00E-05,0.00085,0.00017,0.00039,3.24172
6/6/17 7:21,-158,36.99983,11,120,picoeuk,1.47033,19.54033,0.60198,0.00691,0.42,0.05413,2.91927,0.03247,0.00266,0.01851
6/6/17 7:21,-158,36.99983,11,120,prochloro,0.07628,0.88512,0.20567,0.00169,0.58971,5.00E-04,0.07262,0.01073,1.00E-04,0.06224
6/6/17 7:21,-158,36.99983,11,120,synecho,0.06978,1.29809,0.07847,0.28879,0.21294,0.01353,0.25186,0.00924,0.05434,0.06819
6/6/17 7:21,-158,36.99983,11,120,bacteria,0.00165,0.03713,0.01966,0.01562,213.06269,1.00E-05,0.00027,0.00038,0.00014,12.10475
6/7/17 6:33,-158,36,12,15,picoeuk,0.16551,0.7722,0.15252,0.00306,8.32566,0.00491,0.04535,0.00569,0.00087,0.22126
6/7/17 6:33,-158,36,12,15,prochloro,0.01087,0.03738,0.03425,0.00128,12.54771,0.00048,0.00174,0.00056,5.00E-05,0.0878
6/7/17 6:33,-158,36,12,15,synecho,0.05803,0.56847,0.0621,0.11793,17.51017,0.00115,0.03687,0.00106,0.00275,0.21753
6/7/17 6:33,-158,36,12,15,bacteria,0.00192,0.04361,0.02082,0.01778,658.91375,2.00E-05,0.00051,3.00E-05,2.00E-04,18.0202
6/7/17 6:33,-158,36,12,25,picoeuk,0.17717,0.85109,0.14535,0.00249,10.8964,0.00653,0.03047,0.00738,0.00093,0.22679
6/7/17 6:33,-158,36,12,25,prochloro,0.0117,0.04732,0.03615,0.00129,30.84833,0.00012,0.00039,0.00039,6.00E-05,1.3203
6/7/17 6:33,-158,36,12,25,synecho,0.04872,0.64395,0.05995,0.13006,42.99811,0.00015,0.01828,0.00068,0.00347,0.8117
6/7/17 6:33,-158,36,12,25,bacteria,0.00185,0.03876,0.01948,0.01694,722.44706,3.00E-05,0.00054,0.00042,0.00016,44.22355
6/7/17 6:33,-158,36,12,45,picoeuk,0.72662,5.18572,0.3425,0.00291,7.23505,0.01703,0.1981,0.01251,0.00101,0.36441
6/7/17 6:33,-158,36,12,45,prochloro,0.02802,0.1996,0.06764,0.00129,99.38041,0.00038,0.00849,0.00135,4.00E-05,0.99541
6/7/17 6:33,-158,36,12,45,synecho,0.07827,2.01803,0.07194,0.51407,17.44588,0.00134,0.05763,0.00176,0.01505,0.24139
6/7/17 6:33,-158,36,12,45,bacteria,0.00207,0.04594,0.02023,0.02086,516.51182,5.00E-05,0.00025,0.00043,4.00E-05,16.87581
6/7/17 6:33,-158,36,12,55,picoeuk,0.90126,7.679,0.39252,0.00327,5.77189,0.0091,0.30699,0.00599,0.00043,0.27638
6/7/17 6:33,-158,36,12,55,prochloro,0.03582,0.35105,0.08515,0.00131,68.33473,0.00045,0.00397,0.00144,3.00E-05,0.51335
6/7/17 6:33,-158,36,12,55,synecho,0.10068,2.71226,0.07302,0.74398,8.57364,0.0013,0.073,0.00123,0.01196,0.12686
6/7/17 6:33,-158,36,12,55,bacteria,0.00175,0.04005,0.01906,0.01775,470.06343,1.00E-05,0.00096,0.00025,2.00E-04,7.63168
6/7/17 6:33,-158,36,12,90,picoeuk,1.1304,12.26047,0.4721,0.00375,1.82195,0.00854,0.42065,0.02115,0.00046,0.09452
6/7/17 6:33,-158,36,12,90,prochloro,0.04648,0.54179,0.13076,0.00138,5.33338,0.00117,0.01352,0.00265,2.00E-05,0.19632
6/7/17 6:33,-158,36,12,90,synecho,0.13658,4.43877,0.08912,1.06287,1.18464,0.00404,0.09491,0.0011,0.02965,0.07512
6/7/17 6:33,-158,36,12,90,bacteria,0.00164,0.03659,0.0193,0.01432,274.61274,2.00E-05,0.00098,0.00014,0.00034,16.01085
6/7/17 6:33,-158,36,12,120,picoeuk,1.44078,21.89239,0.52138,0.005,0.47753,0.02049,0.77912,0.01443,0.00157,0.02239
6/7/17 6:33,-158,36,12,120,prochloro,0.08006,0.98028,0.22095,0.00168,1.22505,0.00755,0.07676,0.00915,6.00E-05,0.09056
6/7/17 6:33,-158,36,12,120,synecho,0.0849,1.02546,0.07832,0.2601,0.09588,0.00969,0.22235,0.00765,0.0675,0.01669
6/7/17 6:33,-158,36,12,120,bacteria,0.00164,0.03568,0.01889,0.01461,194.98183,2.00E-05,0.00066,1.00E-04,0.00017,6.33212
6/8/17 13:18,-158,34.5,14,15,picoeuk,0.55468,1.1362,0.29658,0.00679,3.35183,0.10069,0.20957,0.05425,0.00328,0.11031
6/8/17 13:18,-158,34.5,14,15,prochloro,0.01307,0.01946,0.031,0.00131,111.30956,6.00E-05,0.00013,0.00011,8.00E-05,6.50517
6/8/17 13:18,-158,34.5,14,15,synecho,0.07079,0.11726,0.08169,0.01599,15.46637,0.00021,0.00503,0.00068,0.00054,0.31598
6/8/17 13:18,-158,34.5,14,15,bacteria,0.00182,0.03956,0.01987,0.0157,571.00981,1.00E-05,0.00322,0.00018,0.00077,7.24262
6/8/17 13:18,-158,34.5,14,25,picoeuk,0.65149,1.33653,0.31945,0.00981,3.09954,0.0089,0.05992,0.01995,0.00437,0.14424
6/8/17 13:18,-158,34.5,14,25,prochloro,0.01313,0.0208,0.03073,0.00144,115.04395,0.00029,0.00054,0.00057,0.00016,5.08565
6/8/17 13:18,-158,34.5,14,25,synecho,0.06961,0.11966,0.08478,0.01549,15.94812,6.00E-04,0.00888,0.00591,0.00139,1.93094
6/8/17 13:18,-158,34.5,14,25,bacteria,0.00184,0.04062,0.0205,0.01652,553.23443,3.00E-05,0.00049,5.00E-05,0.00015,4.17889
6/8/17 13:18,-158,34.5,14,45,picoeuk,0.92542,1.85095,0.4885,0.0064,2.06113,0.13451,0.31734,0.06039,0.00217,0.25043
6/8/17 13:18,-158,34.5,14,45,prochloro,0.00618,0.01388,0.02135,0.00126,173.22453,5.00E-05,0.00043,0.00016,0,9.57611
6/8/17 13:18,-158,34.5,14,45,synecho,0.07029,0.11102,0.07308,0.0136,5.58691,0.00116,0.00538,5.00E-04,0.00083,0.37092
6/8/17 13:18,-158,34.5,14,45,bacteria,0.00214,0.04158,0.01934,0.01758,402.00342,2.00E-05,0.00428,0.00044,0.00126,11.15057
6/8/17 13:18,-158,34.5,14,60,picoeuk,1.17365,2.7434,0.43112,0.01028,2.22186,0.08818,0.11972,0.03403,0.00173,0.17964
6/8/17 13:18,-158,34.5,14,60,prochloro,0.00789,0.03123,0.02509,0.00124,159.87852,5.00E-05,0.00026,0.00013,3.00E-05,1.34031
6/8/17 13:18,-158,34.5,14,60,synecho,0.05958,0.32356,0.07143,0.0661,12.81337,0.00021,0.00287,0.00093,0.0011,0.35776
6/8/17 13:18,-158,34.5,14,60,bacteria,0.00209,0.04357,0.01914,0.0168,422.21779,3.00E-05,0.00212,0.00032,0.00116,42.48158
6/8/17 13:18,-158,34.5,14,80,picoeuk,0.78927,4.26445,0.37902,0.0036,8.72913,0.00695,0.07207,0.0073,0.00064,0.2238
6/8/17 13:18,-158,34.5,14,80,prochloro,0.02393,0.14024,0.05402,0.00127,207.73946,7.00E-05,0.00092,0.00033,5.00E-05,3.25965
6/8/17 13:18,-158,34.5,14,80,synecho,0.06017,1.77364,0.08282,0.4116,18.06887,0.00059,0.02344,0.00205,0.00663,0.2879
6/8/17 13:18,-158,34.5,14,80,bacteria,0.00221,0.04903,0.02192,0.01986,486.69677,5.00E-05,0.00109,1.00E-05,0.00062,25.83753
6/8/17 13:18,-158,34.5,14,120,picoeuk,1.1641,13.85408,0.45279,0.00269,1.54473,0.0217,1.10914,0.01182,1.00E-04,0.14753
6/8/17 13:18,-158,34.5,14,120,prochloro,0.06302,0.76869,0.17124,0.00155,10.02714,0.00019,0.0142,0.00166,1.00E-05,0.14624
6/8/17 13:18,-158,34.5,14,120,synecho,0.16992,5.30489,0.10037,1.29886,0.19073,0.00855,0.29854,0.01231,0.08687,0.0133
6/8/17 13:18,-158,34.5,14,120,bacteria,0.00161,0.03629,0.01897,0.01449,234.90557,4.00E-05,0.00017,0.00028,0.00015,6.01241
6/9/17 6:31,-158,34.00017,15,15,picoeuk,0.96314,2.12551,0.42266,0.02156,2.87372,0.11658,0.26129,0.03998,0.00801,0.2585
6/9/17 6:31,-158,34.00017,15,15,prochloro,0.00839,0.04346,0.03053,0.00148,47.62998,0.00214,0.02129,0.0062,0.00029,48.02724
6/9/17 6:31,-158,34.00017,15,15,synecho,0.05179,0.22855,0.06961,0.04643,16.65925,0.00251,0.01761,0.00113,0.00138,0.42685
