local.time,fcs.file,label,Volume,i,n,fsc,chl,ssc,green,conc,duplicate,exp,lat,long
10/29/11 6:00,Francois.20120214.A.0003.fcs,TC1 0600 B,157.47,synecho,1065,41398,30485,28659,28453,6.763192989,B,TC1,35.36,138.68
10/29/11 6:00,Francois.20120213.A.0011.fcs,TC1 0600 C,158.1,synecho,1252,39461,31020,28182,27866,7.919038583,C,TC1,35.36,138.68
10/29/11 6:00,Francois.20120213.A.0011.fcs,TC1 0600 C,158.1,prochloro,42395,22848,20463,16449,19176,268.1530677,C,TC1,35.36,138.68
10/29/11 6:00,Francois.20120213.A.0011.fcs,TC1 0600 C,158.1,heteroBact,66252,11302,13561,12880,13236,419.0512334,C,TC1,35.36,138.68
10/29/11 6:00,Francois.20120214.A.0003.fcs,TC1 0600 B,157.47,prochloro,40833,23104,20631,17118,19325,259.3065346,B,TC1,35.36,138.68
10/29/11 6:00,Francois.20120213.A.0010.fcs,TC1 0600 A,158.2,synecho,1470,38798,28952,27105,26890,9.292035398,A,TC1,35.36,138.68
10/29/11 6:00,Francois.20120214.A.0003.fcs,TC1 0600 B,157.47,beads,22311,63319,39121,44805,52156,141.6841303,B,TC1,35.36,138.68
10/29/11 6:00,Francois.20120214.A.0003.fcs,TC1 0600 B,157.47,heteroBact,65073,11542,13576,13782,13190,413.2406173,B,TC1,35.36,138.68
10/29/11 6:00,Francois.20120213.A.0010.fcs,TC1 0600 A,158.2,beads,8156,63317,39134,44239,52072,51.55499368,A,TC1,35.36,138.68
10/29/11 8:00,Francois.20120213.A.0002.fcs,TC1 0800 C,154.7,beads,8325,63404,39158,44448,52242,53.81383323,C,TC1,35,139
10/29/11 8:00,Francois.20120214.A.0004.fcs,TC1 0800 B,157.69,beads,8510,63253,39049,44720,52106,53.96664341,B,TC1,35,139
10/29/11 8:00,Francois.20120213.A.0012.fcs,TC1 0800 A,156.75,heteroBact,54240,11414,13258,14564,12928,346.0287081,A,TC1,35,139
10/29/11 8:00,Francois.20120214.A.0004.fcs,TC1 0800 B,157.69,prochloro,42244,22244,20398,16896,18972,267.8927009,B,TC1,35,139
10/29/11 8:00,Francois.20120213.A.0002.fcs,TC1 0800 C,154.7,synecho,882,40114,30082,28770,28014,5.701357466,C,TC1,35,139
10/29/11 8:00,Francois.20120214.A.0004.fcs,TC1 0800 B,157.69,synecho,1211,38079,29613,28070,26150,7.67962458,B,TC1,35,139
10/29/11 8:00,Francois.20120213.A.0002.fcs,TC1 0800 C,154.7,heteroBact,50968,11652,12979,13726,13068,329.4634777,C,TC1,35,139
10/29/11 8:00,Francois.20120213.A.0012.fcs,TC1 0800 A,156.75,prochloro,41125,22427,20167,17248,18774,262.3604466,A,TC1,35,139
10/29/11 8:00,Francois.20120213.A.0002.fcs,TC1 0800 C,154.7,prochloro,40050,22449,19840,16816,18873,258.8881707,C,TC1,35,139
10/29/11 8:00,Francois.20120213.A.0012.fcs,TC1 0800 A,156.75,synecho,917,39337,30786,29828,27809,5.850079745,A,TC1,35,139
10/29/11 8:00,Francois.20120214.A.0004.fcs,TC1 0800 B,157.69,heteroBact,54587,11370,13397,14090,12907,346.1665293,B,TC1,35,139
10/29/11 8:00,Francois.20120213.A.0012.fcs,TC1 0800 A,156.75,beads,8108,63384,38993,45233,51981,51.72567783,A,TC1,35,139
10/29/11 10:00,Francois.20120213.A.0013.fcs,TC1 1000 A,159.4,heteroBact,59188,11229,13653,13968,13286,371.3174404,A,TC1,34.61,139.4
10/29/11 10:00,Francois.20120213.A.0003.fcs,TC1 1000 C,157.3,heteroBact,54318,11297,13733,13285,13513,345.3146853,C,TC1,34.61,139.4
10/29/11 10:00,Francois.20120213.A.0013.fcs,TC1 1000 A,159.4,prochloro,42716,22578,20181,16912,18348,267.9799247,A,TC1,34.61,139.4
10/29/11 10:00,Francois.20120213.A.0003.fcs,TC1 1000 C,157.3,prochloro,41507,22514,20106,16419,18590,263.871583,C,TC1,34.61,139.4
10/29/11 10:00,Francois.20120213.A.0013.fcs,TC1 1000 A,159.4,synecho,866,39894,31334,29824,28276,5.432873275,A,TC1,34.61,139.4
10/29/11 10:00,Francois.20120213.A.0003.fcs,TC1 1000 C,157.3,synecho,585,44838,31953,29436,31180,3.719008264,C,TC1,34.61,139.4
10/29/11 10:00,Francois.20120214.A.0005.fcs,TC1 1000 B,164.91,heteroBact,58664,11307,14022,13868,13475,355.7334304,B,TC1,34.61,139.4
10/29/11 10:00,Francois.20120213.A.0013.fcs,TC1 1000 A,159.4,beads,8685,63352,38926,45223,51922,54.48557089,A,TC1,34.61,139.4
10/29/11 10:00,Francois.20120213.A.0003.fcs,TC1 1000 C,157.3,beads,7480,63274,39056,44336,52134,47.55244755,C,TC1,34.61,139.4
10/29/11 10:00,Francois.20120214.A.0005.fcs,TC1 1000 B,164.91,prochloro,43264,22529,20388,16738,18619,262.3491601,B,TC1,34.61,139.4
10/29/11 10:00,Francois.20120214.A.0005.fcs,TC1 1000 B,164.91,beads,21735,63317,39150,44780,52152,131.7991632,B,TC1,34.61,139.4
10/29/11 10:00,Francois.20120214.A.0005.fcs,TC1 1000 B,164.91,synecho,1488,38904,31624,30244,26380,9.023103511,B,TC1,34.61,139.4
10/29/11 12:00,Francois.20120213.A.0023.fcs,TC1 1200+1 A,158.54,prochloro,44708,22695,19669,16934,18590,281.9982339,A,TC1,34.4,139.69
10/29/11 12:00,Francois.20120213.A.0023.fcs,TC1 1200+1 A,158.54,heteroBact,67195,11168,13232,14016,12671,423.8362558,A,TC1,34.4,139.69
10/29/11 12:00,Francois.20120213.A.0023.fcs,TC1 1200+1 A,158.54,synecho,1645,37166,28388,27983,26157,10.37593036,A,TC1,34.4,139.69
10/29/11 12:00,Francois.20120214.A.0009.fcs,TC1 1200+1 B,161.68,beads,42644,63282,39138,44794,52139,263.7555666,B,TC1,34.4,139.69
10/29/11 12:00,Francois.20120213.A.0018.fcs,TC1 1200+1 C,159,beads,8377,63153,38752,45155,51763,52.68553459,C,TC1,34.4,139.69
10/29/11 12:00,Francois.20120213.A.0018.fcs,TC1 1200+1 C,159,synecho,1107,41656,32742,30846,27218,6.962264151,C,TC1,34.4,139.69
10/29/11 12:00,Francois.20120213.A.0023.fcs,TC1 1200+1 A,158.54,beads,9643,63199,38735,45142,51752,60.82376687,A,TC1,34.4,139.69
10/29/11 12:00,Francois.20120213.A.0018.fcs,TC1 1200+1 C,159,prochloro,40592,22938,19736,17250,18705,255.2955975,C,TC1,34.4,139.69
10/29/11 12:00,Francois.20120214.A.0009.fcs,TC1 1200+1 B,161.68,synecho,1636,38516,29790,28746,26698,10.11875309,B,TC1,34.4,139.69
10/29/11 12:00,Francois.20120214.A.0009.fcs,TC1 1200+1 B,161.68,prochloro,43197,22779,19900,17097,18977,267.175903,B,TC1,34.4,139.69
10/29/11 12:00,Francois.20120214.A.0009.fcs,TC1 1200+1 B,161.68,heteroBact,64622,11294,13264,13786,12854,399.6907472,B,TC1,34.4,139.69
10/29/11 12:00,Francois.20120213.A.0018.fcs,TC1 1200+1 C,159,heteroBact,66452,11260,13086,14041,12638,417.9371069,C,TC1,34.4,139.69
10/29/11 14:00,Francois.20120214.A.0010.fcs,TC1 1400+1 B,164.31,beads,10391,63230,39028,44695,52054,63.24021666,B,TC1,33.87,140.09
10/29/11 14:00,Francois.20120214.A.0010.fcs,TC1 1400+1 B,164.31,synecho,1817,40919,31131,29661,25026,11.05836529,B,TC1,33.87,140.09
10/29/11 14:00,Francois.20120214.A.0010.fcs,TC1 1400+1 B,164.31,heteroBact,70261,11588,13740,13821,13222,427.6124399,B,TC1,33.87,140.09
10/29/11 14:00,Francois.20120213.A.0019.fcs,TC1 1400+1 C,159.57,prochloro,42708,23169,19520,17249,18597,267.644294,C,TC1,33.87,140.09
10/29/11 14:00,Francois.20120213.A.0019.fcs,TC1 1400+1 C,159.57,heteroBact,66341,11191,12906,13822,12513,415.7485743,C,TC1,33.87,140.09
10/29/11 14:00,Francois.20120214.A.0010.fcs,TC1 1400+1 B,164.31,prochloro,41997,23615,20238,17458,19145,255.5961293,B,TC1,33.87,140.09
10/29/11 14:00,Francois.20120213.A.0019.fcs,TC1 1400+1 C,159.57,beads,7904,63030,38647,45058,51678,49.53312026,C,TC1,33.87,140.09
10/29/11 14:00,Francois.20120213.A.0019.fcs,TC1 1400+1 C,159.57,synecho,1296,40386,30595,29242,26778,8.121827411,C,TC1,33.87,140.09
10/29/11 16:00,Francois.20120213.A.0024.fcs,TC1 1600+1 C,158.12,synecho,1211,37053,27835,28544,27058,7.658740197,C,TC1,33.63,140.31
10/29/11 16:00,Francois.20120213.A.0009.fcs,TC1 1600+1 A,157.4,prochloro,38399,23829,20048,17321,19208,243.9580686,A,TC1,33.63,140.31
10/29/11 16:00,Francois.20120213.A.0024.fcs,TC1 1600+1 C,158.12,prochloro,38926,23430,19840,17433,18853,246.1801164,C,TC1,33.63,140.31
10/29/11 16:00,Francois.20120213.A.0024.fcs,TC1 1600+1 C,158.12,beads,10826,63170,38703,45143,51759,68.4669871,C,TC1,33.63,140.31
10/29/11 16:00,Francois.20120214.A.0011.fcs,TC1 1600+1 C,163.67,prochloro,37385,23724,20177,17498,19182,228.4169365,C,TC1,33.63,140.31
10/29/11 16:00,Francois.20120214.A.0011.fcs,TC1 1600+1 C,163.67,heteroBact,60169,11708,13653,14080,13089,367.6238773,C,TC1,33.63,140.31
10/29/11 16:00,Francois.20120213.A.0009.fcs,TC1 1600+1 A,157.4,beads,9042,63368,39181,44272,52117,57.44599746,A,TC1,33.63,140.31
10/29/11 16:00,Francois.20120213.A.0024.fcs,TC1 1600+1 C,158.12,heteroBact,59296,11500,13556,14188,12978,375.0063243,C,TC1,33.63,140.31
