file,n.opp,n.evt,n.evt.,beads,pro,syn,pico,origin,offset.small.D1,offset.large.D1,offset.small.D2,offset.large.D2,width,corr
2013_107/258.evt,444210,3237383,3172742,186,30322,2182,593,0,10000,-24029,10000,-22498,2500,10000
2013_108/70.evt,294585,2741632,2695092,152,35943,1537,426,0,5507.5,-28521.5,5507.5,-26990.5,2500,5507.5
2013_108/70.evt,2780,2741632,2695092,87,1180,730,229,0,-10000,-44029,-10000,-42498,2500,-10000
2013_108/70.evt,7142,2741632,2695092,103,5302,835,261,0,-7500,-41529,-7500,-39998,2500,-7500
2013_108/70.evt,14431,2741632,2695092,118,12340,953,290,0,-5000,-39029,-5000,-37498,2500,-5000
2013_108/70.evt,21996,2741632,2695092,128,19609,1091,318,0,-2500,-36529,-2500,-34998,2500,-2500
2013_108/70.evt,29054,2741632,2695092,133,26055,1236,345,0,0,-34029,0,-32498,2500,0
2013_108/70.evt,239875,2741632,2695092,142,30568,1378,377,0,2500,-31529,2500,-29998,2500,2500
2013_108/70.evt,286364,2741632,2695092,150,34943,1509,414,0,5000,-29029,5000,-27498,2500,5000
2013_108/70.evt,324213,2741632,2695092,157,40466,1598,454,0,7500,-26529,7500,-24998,2500,7500
2013_108/70.evt,361140,2741632,2695092,167,47537,1664,497,0,10000,-24029,10000,-22498,2500,10000
2013_112/319.evt,414284,1843456,1756672,36,40933,360,221,0,5507.5,-28521.5,5507.5,-26990.5,2500,5507.5
2013_112/319.evt,13149,1843456,1756672,16,12500,269,78,0,-10000,-44029,-10000,-42498,2500,-10000
2013_112/319.evt,21600,1843456,1756672,21,20896,280,98,0,-7500,-41529,-7500,-39998,2500,-7500
2013_112/319.evt,29363,1843456,1756672,26,28620,291,113,0,-5000,-39029,-5000,-37498,2500,-5000
2013_112/319.evt,35104,1843456,1756672,29,34298,302,130,0,-2500,-36529,-2500,-34998,2500,-2500
2013_112/319.evt,40786,1843456,1756672,31,37614,315,152,0,0,-34029,0,-32498,2500,0
