file,n.opp,n.opp.,n.evt,n.evt.,beads,pro,syn,pico,width,corr,offset.small.D1,offset.small.D2,offset.large.D1,offset.large.D2,notch.small.D1,notch.small.D2,notch.large.D1,notch.large.D2
2011_275/333.evt,8327,8327,2446848,2446619,0,1319,2695,2653,5000,2,0,0,-38627,-37467,0.526720223541739,0.51903597624869,1.37,1.337
2011_275/333.evt,11205,11205,2446848,2446619,3,1606,3472,3940,5000,3,0,0,-36129,-34969,0.581295843520782,0.581295843520782,1.37,1.337
2011_275/333.evt,5678,5678,2446848,2446619,0,1053,2113,1288,5000,4,0,0,-41129,-39969,0.472144603562696,0.464460356269647,1.37,1.337
2011_275/450.evt,4929,4929,3011456,3003613,0,652,297,319,5000,0,-6014,-6320,-38629,-37469,0.658,0.657,1.37,1.337
2011_275/450.evt,10318,10318,3011456,3003613,1,1324,361,527,5000,2500,-3514,-3820,-36129,-34969,0.658,0.657,1.37,1.337
2011_275/450.evt,17038,17038,3011456,3003613,2,1961,417,650,5000,5000,-1014,-1320,-33629,-32469,0.658,0.657,1.37,1.337
2011_275/450.evt,109643,23976,3011456,3003613,2,2446,474,715,5000,7500,1486,1180,-31129,-29969,0.658,0.657,1.37,1.337
2011_275/450.evt,410765,29888,3011456,3003613,3,2924,532,766,5000,10000,3986,3680,-28629,-27469,0.658,0.657,1.37,1.337
2011_275/450.evt,20472,20331,3011456,3003613,2,2198,438,607,5000,1,0,0,-38628,-37468,0.658,0.657,1.37,1.337
2011_275/450.evt,16262,16262,3011456,3003613,0,1856,370,334,5000,2,0,0,-38627,-37467,0.526720223541739,0.51903597624869,1.37,1.337
2011_275/450.evt,18254,18254,3011456,3003613,1,1994,402,539,5000,3,0,0,-36129,-34969,0.581295843520782,0.581295843520782,1.37,1.337
2011_275/450.evt,14194,14194,3011456,3003613,0,1705,334,94,5000,4,0,0,-41129,-39969,0.472144603562696,0.464460356269647,1.37,1.337
2011_275/460.evt,5504,5504,3029376,3022849,2,3016,346,549,5000,0,-6014,-6320,-38629,-37469,0.658,0.657,1.37,1.337
2011_275/460.evt,11151,11151,3029376,3022849,6,7743,425,900,5000,2500,-3514,-3820,-36129,-34969,0.658,0.657,1.37,1.337
2011_275/460.evt,17906,17906,3029376,3022849,7,13748,509,1112,5000,5000,-1014,-1320,-33629,-32469,0.658,0.657,1.37,1.337
2011_275/460.evt,106384,24683,3029376,3022849,7,20170,580,1227,5000,7500,1486,1180,-31129,-29969,0.658,0.657,1.37,1.337
2011_275/460.evt,408889,30640,3029376,3022849,7,25881,638,1340,5000,10000,3986,3680,-28629,-27469,0.658,0.657,1.37,1.337
2011_275/460.evt,21278,21138,3029376,3022849,7,16864,539,1077,5000,1,0,0,-38628,-37468,0.658,0.657,1.37,1.337
2011_275/460.evt,16965,16965,3029376,3022849,2,13834,436,596,5000,2,0,0,-38627,-37467,0.526720223541739,0.51903597624869,1.37,1.337
2011_275/460.evt,18991,18991,3029376,3022849,6,15143,486,938,5000,3,0,0,-36129,-34969,0.581295843520782,0.581295843520782,1.37,1.337
2011_275/460.evt,14845,14845,3029376,3022849,0,12490,390,216,5000,4,0,0,-41129,-39969,0.472144603562696,0.464460356269647,1.37,1.337
2011_275/470.evt,5144,5144,3008000,3001531,2,2823,302,598,5000,0,-6014,-6320,-38629,-37469,0.658,0.657,1.37,1.337
2011_275/470.evt,10700,10700,3008000,3001531,3,7549,368,902,5000,2500,-3514,-3820,-36129,-34969,0.658,0.657,1.37,1.337
2011_275/470.evt,17447,17447,3008000,3001531,3,13659,442,1108,5000,5000,-1014,-1320,-33629,-32469,0.658,0.657,1.37,1.337
2011_275/470.evt,104713,24281,3008000,3001531,3,20370,521,1248,5000,7500,1486,1180,-31129,-29969,0.658,0.657,1.37,1.337
2011_275/470.evt,405446,30135,3008000,3001531,3,26505,596,1332,5000,10000,3986,3680,-28629,-27469,0.658,0.657,1.37,1.337
2011_275/470.evt,20828,20692,3008000,3001531,2,16834,474,1102,5000,1,0,0,-38628,-37468,0.658,0.657,1.37,1.337
2011_275/470.evt,16613,16613,3008000,3001531,2,13747,380,641,5000,2,0,0,-38627,-37467,0.526720223541739,0.51903597624869,1.37,1.337
2011_275/470.evt,18623,18623,3008000,3001531,3,15133,420,944,5000,3,0,0,-36129,-34969,0.581295843520782,0.581295843520782,1.37,1.337
2011_275/470.evt,14534,14534,3008000,3001531,0,12407,348,260,5000,4,0,0,-41129,-39969,0.472144603562696,0.464460356269647,1.37,1.337
2011_276/191.evt,4817,4817,2780928,2774350,0,2415,265,601,5000,0,-6014,-6320,-38629,-37469,0.658,0.657,1.37,1.337
2011_276/191.evt,10366,10366,2780928,2774350,1,7018,331,912,5000,2500,-3514,-3820,-36129,-34969,0.658,0.657,1.37,1.337
2011_276/191.evt,17145,17145,2780928,2774350,2,12894,385,1147,5000,5000,-1014,-1320,-33629,-32469,0.658,0.657,1.37,1.337
2011_276/191.evt,93105,24047,2780928,2774350,2,18648,444,1273,5000,7500,1486,1180,-31129,-29969,0.658,0.657,1.37,1.337
2011_276/191.evt,332757,30427,2780928,2774350,2,23918,502,1372,5000,10000,3986,3680,-28629,-27469,0.658,0.657,1.37,1.337
2011_276/191.evt,20519,20402,2780928,2774350,1,15721,418,1120,5000,1,0,0,-38628,-37468,0.658,0.657,1.37,1.337
2011_276/191.evt,16122,16122,2780928,2774350,0,12737,330,649,5000,2,0,0,-38627,-37467,0.526720223541739,0.51903597624869,1.37,1.337
2011_276/191.evt,18196,18196,2780928,2774350,1,14050,362,960,5000,3,0,0,-36129,-34969,0.581295843520782,0.581295843520782,1.37,1.337
2011_276/191.evt,14052,14052,2780928,2774350,0,11501,295,228,5000,4,0,0,-41129,-39969,0.472144603562696,0.464460356269647,1.37,1.337
2011_276/207.evt,4521,4521,2777472,2770380,0,2007,205,564,5000,0,-6014,-6320,-38629,-37469,0.658,0.657,1.37,1.337
